Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
704571,2920,W,JEFFERSON,BLVD,90018,12/2/2015,,GENERAL,,O,34.02544,-118.32796
704573,3823,S,DUBLIN,AVE,90008,12/2/2015,,GENERAL,,O,34.01673,-118.32251
704577,5451,S,11TH,AVE,90043,12/2/2015,,GENERAL,,O,33.9916,-118.32956
704578,645,N,MILO,TER,90042,12/2/2015,,GENERAL,,O,34.11342,-118.20695
704579,7633,N,ETON,AVE,91304,12/2/2015,,GENERAL,,O,34.20937,-118.59571
704584,15640,W,ROSCOE,BLVD,91406,12/2/2015,,GENERAL,,O,34.22121,-118.47407
704446,3470,N,PRIMERA,AVE,90068,12/2/2015,,GENERAL,,O,34.13374,-118.34175
737317,6315,S,BUCKLER,AVE,90043,9/22/2016,,GENERAL,,O,33.98226,-118.35065
737319,400,N,MARINE,AVE,90744,9/22/2016,,GENERAL,,O,33.77446,-118.26314
737321,11042,W,MAGNOLIA,BLVD,91601,9/22/2016,,GENERAL,,O,34.16478,-118.37201
737324,10500,W,PENROSE,ST,91352,9/23/2016,,GENERAL,,O,34.23213,-118.36001
704677,1134,E,103RD,PL,90002,12/2/2015,,GENERAL,,O,33.94255,-118.25525
704679,3638,S,ADAIR,ST,90011,12/2/2015,,GENERAL,,O,34.01317,-118.26767
704683,4161,W,GARDEN,AVE,90039,12/3/2015,,GENERAL,,O,34.12761,-118.2696
704684,4333,N,EDENHURST,AVE,90039,12/3/2015,,GENERAL,,O,34.13218,-118.27003
704685,10032,N,KESTER,AVE,91345,12/3/2015,,GENERAL,,O,34.2528,-118.45634
704686,13684,N,DRONFIELD,AVE,91342,12/3/2015,,GENERAL,,O,34.32078,-118.45371
704796,7169,W,BEVERLY,BLVD,90036,12/3/2015,,CITATIONS,,O,34.07632,-118.34591
704802,726,S,CITRUS,AVE,90036,12/3/2015,,GENERAL,,O,34.06121,-118.33956
704804,7050,N,TOPANGA CANYON,BLVD,91303,12/3/2015,,VEIP,,O,34.19875,-118.60563
704812,416,E,ANAHEIM,ST,90744,12/3/2015,,GENERAL,,O,33.78009,-118.25791
704828,8425,W,FORSYTHE,ST,91040,12/4/2015,,GENERAL,,O,34.26637,-118.31668
704723,1333,W,60TH,ST,90044,12/3/2015,,GENERAL,,O,33.98598,-118.29913
704800,4567,W,WASHINGTON,BLVD,90019,12/3/2015,,GENERAL,,O,34.04001,-118.33954
704816,4605,E,NORELLE,ST,90032,12/3/2015,,GENERAL,,O,34.07226,-118.18431
704817,5234,E,ITHACA,AVE,90032,12/3/2015,,GENERAL,,O,34.07479,-118.17203
704832,5922,N,BALCOM,AVE,91316,12/4/2015,,GENERAL,,O,34.17813,-118.52029
704841,2357,W,29TH,PL,90018,12/4/2015,,GENERAL,,O,34.02833,-118.31953
704930,6215,N,WHITE OAK,AVE,91335,12/5/2015,,GENERAL,,O,34.18326,-118.51869
704942,12307,W,SATICOY,ST,91605,12/7/2015,,GENERAL,,O,34.20861,-118.40095
704943,12301,W,SATICOY,ST,91605,12/7/2015,,GENERAL,,O,34.20862,-118.40078
